What are the factors that influence your learning pace and how much time you spend?,
23217,"Calme et tranquilité d'esprit, musique disponible, et objectifs personnels a atteindre."
23218,Anlatıcının konuya hakimiyeti
23219,Intérêt et mise en application
23221,"It's depends if the topic is difficult i spend most of time to understand that topic
"
23230,mon emploi du temps a l'école et le travail que j'ai à faire
23235,업무 피로도
23236,I am hungry to get knowledge about technology that coming market to make better software or solutions for problems
23237,"mood, clarity of material"
23241, More challenging topics may require additional time to understand.
23243,"주변환경(업무, 가정)"
23247,Mes études
23252,"Relationship between friends who learning the topics.
I will spend one hour a day."
23262,MAnchmal muss ich mein System anpassen wegen Deadlines   
23266,How difficult a topic/subject is to master. How many times I get interrupted. How tired I am.
23281,DeadLines. If I have a project or assignment with a nearing deadline I dedicate all my time to it. If It's a competition I'd be dedicated but not with the same level of urgency. 
23282,L'Endroit dans lequel je me trouve
23283,Nature of the topic 
23284,"Verfügbare Zeit, Motivation, Notwendigkeit etwas zu lernen"
23288,I like to have a fixed schedule in which I study for a bit each day.
23290,"ease or difficulty of the concepts, the size of documentations
availability of consultation resources
familiarity with the concept
depends if I'm learning with others sometimes it can be faster other times a little slow"
23294,"The necessity or urgency to complete a project. I start by learning best practices. After learning, I work on the project. "
23296,What I value the most is flexibility.
23303,Остальная учеба
23314,My personal motivation and amount of free time
23315,The time I have at home and the balance with family and friends 
23317,El trabajo
23319,Mis responsabilidades escolares 
23321,Le travail 
23322,"Financial commitments. Since I have little income to survive on, and have a family to support, it is on me to work hard to provide.  I spend less than 3 hours a day learning, I would love to spend much more time. "
23327,大学课程多，空闲学习时间不够
23328,Family Matters or events
23329,Time disponibility
23330,Disponibilidade de tempo. Gasto de 3 até 8 horas
23331,How engaging the content is.
23333,Depending on how busy I am in general that wekk.
23338,time
23339,Семья и занятость 
23341,Le besoin de formation sur un sujet 
23345,自由に使える時間
23346,Tiempo que pueda dedicar
23348,the workload at workplace
23349,Les aléas de la vie et de ma motivation 
23350,"El ritmo de vida, el tiempo disponible y la energía disponible después del trabajo y tareas domésticas"
23351,モチベーションと、その他の事項の忙しさ / Motivation and the busyness of other things
23352,大学课程安排
23358,Whim
23361,"Life. Workload, holiday time, other social interests and basics, like washing dishes, etc."
23362,"El entenderlo rapido, simple y la complejidad del lenguaje"
23363,Depending how much freelance workload I have during the week
23364,"my job was a huge factor until I left, but I'm genuinely motivated to get a few things online and start marketing my skills again. "
23369,La familia 
23372,"New framework that are widely adopted and praised
Direct need at work or direct need for interviews"
23374,Opportunity to apply just-learned features in my pet-project
23376,"I use every minutes of my young life for studying in Computer Science. I'm motivated by seeing that I'm not as good as another student that learn in the better University, even their uni is in top 10 in our country. Looking from that distance, I motivate myself to not to say give up even though their uni is better than me. So I learn hard and use every day for learning, so maybe it's more than 32 hours per week"
23377,"I am motivated by a sense of progression, so a very obvious visual representation of that in the courses i take is really nice."
23383,Clarity of the assignment/instructions and the difficulty of the concepts.
23384,le temps libre dont je dispose 
23391,fundamentals/basic. i've skipped a lot on formal education and switched from public schools to private to international and that caused me to have gaps in understanding/comprehension of many topics. i find myself always going back to basics (most recently to philosophy and history) that historical approach helps me a lot
